id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
800011,18000.0,3.0,15.05,624.42,C,C4,114872.0,< 1 year,1.0,38880.0,1.0,2017-09-01,0.0,324.0,10.0,34.94,0.0,660.0,664.0,15.0,0.0,0.0,16725.0,51.3,41.0,0.0,0.0,2003-12-01,0.0,1.0,0.0,6.0,9.0,9.0,8.0,11.0,17.0,13.0,24.0,9.0,15.0,0.0,0.0,0.0,4.0
800012,20000.0,5.0,24.7,583.52,G,G1,289575.0,< 1 year,1.0,75000.0,2.0,2013-07-01,1.0,51.0,13.0,8.59,0.0,710.0,714.0,8.0,0.0,0.0,28744.0,66.0,35.0,1.0,0.0,2000-06-01,1701.0,1.0,0.0,2.0,2.0,2.0,6.0,30.0,2.0,7.0,33.0,2.0,8.0,0.0,0.0,0.0,1.0
800013,15000.0,3.0,17.27,536.81,C,C5,289299.0,6 years,1.0,65000.0,0.0,2013-07-01,4.0,74.0,30.0,22.53,0.0,665.0,669.0,8.0,0.0,0.0,21508.0,63.1,13.0,1.0,0.0,1998-12-01,4.0,1.0,0.0,4.0,5.0,5.0,5.0,7.0,4.0,7.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0
800014,16000.0,3.0,15.31,557.08,C,C2,326831.0,2 years,0.0,61800.0,1.0,2012-11-01,0.0,495.0,14.0,14.29,1.0,675.0,679.0,10.0,0.0,0.0,16956.0,62.3,39.0,1.0,0.0,1987-01-01,0.0,1.0,3.0,4.0,7.0,7.0,5.0,14.0,7.0,9.0,25.0,7.0,10.0,0.0,0.0,1.0,1.0
800015,15000.0,3.0,5.32,451.73,A,A1,54.0,,1.0,52500.0,0.0,2016-08-01,0.0,219.0,21.0,28.98,0.0,705.0,709.0,16.0,0.0,0.0,27712.0,50.8,22.0,0.0,0.0,1983-08-01,0.0,1.0,0.0,9.0,9.0,9.0,11.0,13.0,3.0,13.0,17.0,9.0,16.0,0.0,0.0,0.0,1.0
800016,10000.0,3.0,12.62,335.12,C,C1,118198.0,1 year,1.0,40000.0,0.0,2017-08-01,4.0,451.0,36.0,12.93,0.0,685.0,689.0,9.0,0.0,0.0,2925.0,16.3,19.0,0.0,0.0,2006-03-01,4.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,11.0,7.0,8.0,5.0,9.0,0.0,0.0,0.0,4.0
800017,16000.0,3.0,12.29,533.65,C,C1,54.0,,0.0,71000.0,2.0,2015-08-01,0.0,48.0,10.0,2.21,0.0,725.0,729.0,1.0,0.0,0.0,5453.0,99.1,7.0,1.0,0.0,2002-03-01,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
800018,12000.0,3.0,6.24,366.37,A,A2,9.0,10+ years,1.0,98000.0,0.0,2015-09-01,0.0,138.0,0.0,14.65,0.0,725.0,729.0,6.0,0.0,0.0,32931.0,44.6,15.0,0.0,0.0,1986-10-01,0.0,1.0,0.0,5.0,5.0,5.0,5.0,7.0,3.0,5.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0
800019,23025.0,3.0,14.46,792.1,C,C4,132.0,4 years,2.0,48000.0,0.0,2016-03-01,0.0,162.0,2.0,24.81,0.0,705.0,709.0,16.0,0.0,0.0,17446.0,49.7,28.0,1.0,0.0,2005-08-01,0.0,1.0,0.0,9.0,10.0,10.0,12.0,13.0,7.0,14.0,20.0,10.0,16.0,0.0,0.0,0.0,2.0
800020,30000.0,3.0,8.18,942.59,B,B1,218.0,10+ years,0.0,105000.0,1.0,2015-08-01,4.0,227.0,35.0,23.45,1.0,705.0,709.0,15.0,0.0,0.0,39931.0,77.4,31.0,0.0,0.0,1977-04-01,4.0,1.0,0.0,7.0,8.0,8.0,9.0,20.0,4.0,12.0,26.0,8.0,15.0,0.0,0.0,0.0,3.0
800021,5000.0,3.0,11.39,164.62,B,B3,19.0,4 years,0.0,55000.0,1.0,2016-11-01,0.0,237.0,32.0,10.17,0.0,715.0,719.0,6.0,0.0,0.0,4660.0,64.7,7.0,1.0,0.0,2006-06-01,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0
800022,12325.0,3.0,17.57,442.93,D,D4,191492.0,10+ years,0.0,40000.0,0.0,2014-07-01,0.0,359.0,43.0,29.01,0.0,700.0,704.0,10.0,0.0,0.0,6895.0,55.2,19.0,1.0,0.0,2004-11-01,0.0,1.0,0.0,2.0,4.0,4.0,3.0,4.0,4.0,7.0,9.0,4.0,10.0,0.0,0.0,0.0,2.0
800023,20000.0,3.0,6.68,614.62,A,A3,96728.0,10+ years,0.0,63000.0,1.0,2015-03-01,4.0,338.0,4.0,34.9,1.0,730.0,734.0,18.0,0.0,0.0,23949.0,62.2,34.0,0.0,0.0,2002-04-01,4.0,1.0,0.0,2.0,4.0,4.0,3.0,3.0,25.0,5.0,5.0,4.0,18.0,0.0,0.0,0.0,2.0
800024,8000.0,3.0,16.99,285.19,D,D1,1870.0,10+ years,0.0,55000.0,0.0,2016-08-01,10.0,407.0,10.0,21.91,2.0,670.0,674.0,8.0,0.0,0.0,2276.0,36.1,16.0,1.0,0.0,2005-06-01,11.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10.0,5.0,6.0,3.0,8.0,0.0,0.0,0.0,4.0
800025,12000.0,5.0,11.99,266.88,C,C1,11234.0,5 years,0.0,95000.0,0.0,2016-01-01,4.0,91.0,7.0,16.04,0.0,695.0,699.0,10.0,0.0,0.0,31115.0,60.3,38.0,0.0,0.0,1991-12-01,4.0,1.0,0.0,3.0,5.0,5.0,5.0,10.0,4.0,8.0,28.0,5.0,10.0,0.0,0.0,0.0,3.0
800026,25000.0,3.0,6.97,771.59,A,A3,127213.0,10+ years,0.0,105000.0,0.0,2016-06-01,4.0,267.0,27.0,19.22,0.0,720.0,724.0,13.0,0.0,0.0,50606.0,52.0,26.0,0.0,0.0,1987-04-01,4.0,1.0,0.0,5.0,6.0,6.0,6.0,8.0,7.0,10.0,14.0,6.0,13.0,0.0,0.0,0.0,1.0
800027,21000.0,3.0,10.99,687.42,B,B4,355022.0,10+ years,0.0,81000.0,1.0,2016-09-01,0.0,235.0,8.0,18.26,1.0,690.0,694.0,12.0,0.0,0.0,20547.0,55.4,17.0,0.0,0.0,1990-12-01,0.0,1.0,0.0,2.0,6.0,6.0,2.0,2.0,4.0,9.0,10.0,6.0,12.0,0.0,0.0,0.0,1.0
800028,18000.0,5.0,21.0,486.97,E,E1,258781.0,10+ years,0.0,110000.0,1.0,2013-11-01,5.0,134.0,8.0,12.59,0.0,670.0,674.0,9.0,0.0,0.0,15681.0,85.7,21.0,1.0,0.0,2006-06-01,173.0,1.0,0.0,3.0,6.0,6.0,3.0,5.0,7.0,6.0,11.0,6.0,9.0,0.0,0.0,0.0,2.0
800029,20000.0,3.0,11.49,659.43,B,B5,123377.0,2 years,1.0,75000.0,0.0,2017-05-01,0.0,255.0,9.0,17.04,0.0,705.0,709.0,10.0,0.0,0.0,20650.0,41.4,34.0,0.0,0.0,1997-11-01,0.0,1.0,0.0,4.0,7.0,7.0,4.0,16.0,3.0,8.0,29.0,7.0,10.0,0.0,0.0,0.0,4.0
800030,14000.0,3.0,7.35,434.53,A,A4,16945.0,3 years,0.0,60000.0,0.0,2017-07-01,2.0,235.0,8.0,5.14,0.0,750.0,754.0,12.0,0.0,0.0,7574.0,17.3,16.0,0.0,0.0,2013-03-01,5.0,1.0,0.0,5.0,7.0,7.0,7.0,10.0,1.0,11.0,14.0,7.0,12.0,0.0,0.0,0.0,4.0
800031,7000.0,3.0,7.35,217.27,A,A4,54.0,,0.0,35000.0,1.0,2017-12-01,4.0,636.0,27.0,7.96,0.0,680.0,684.0,8.0,1.0,0.0,6689.0,35.4,12.0,0.0,0.0,1993-09-01,4.0,1.0,1.0,2.0,3.0,3.0,4.0,7.0,0.0,7.0,11.0,3.0,8.0,0.0,0.0,0.0,1.0
800032,18000.0,3.0,9.67,578.03,B,B1,22992.0,5 years,1.0,104000.0,0.0,2013-11-01,4.0,70.0,32.0,7.0,0.0,705.0,709.0,13.0,0.0,0.0,25739.0,57.6,27.0,1.0,0.0,2003-06-01,300.0,1.0,0.0,9.0,10.0,10.0,12.0,24.0,0.0,13.0,27.0,10.0,13.0,0.0,0.0,0.0,2.0
800033,6000.0,3.0,8.39,189.1,B,B1,2251.0,10+ years,1.0,62000.0,1.0,2016-02-01,4.0,225.0,18.0,25.05,0.0,685.0,689.0,12.0,1.0,0.0,6387.0,33.1,15.0,0.0,0.0,2004-02-01,4.0,1.0,1.0,5.0,6.0,6.0,6.0,6.0,4.0,10.0,10.0,6.0,12.0,0.0,0.0,0.0,3.0
800034,20700.0,5.0,30.99,682.36,G,G5,34366.0,8 years,1.0,45000.0,2.0,2017-10-01,0.0,10.0,8.0,21.97,0.0,690.0,694.0,8.0,1.0,1.0,17557.0,46.9,10.0,0.0,0.0,1991-11-01,0.0,1.0,1.0,5.0,6.0,6.0,5.0,5.0,1.0,7.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0
800035,16000.0,5.0,15.61,385.79,D,D1,35164.0,10+ years,2.0,78000.0,0.0,2015-10-01,0.0,265.0,7.0,33.86,2.0,705.0,709.0,36.0,0.0,0.0,36434.0,57.8,54.0,1.0,0.0,1983-01-01,0.0,1.0,2.0,9.0,23.0,23.0,10.0,14.0,9.0,32.0,44.0,24.0,36.0,0.0,0.0,2.0,7.0
800036,17000.0,3.0,6.99,524.84,A,A3,8125.0,10+ years,1.0,44125.0,0.0,2015-01-01,0.0,230.0,2.0,15.75,0.0,815.0,819.0,9.0,0.0,0.0,4403.0,8.3,17.0,1.0,0.0,1988-03-01,0.0,1.0,0.0,2.0,2.0,2.0,7.0,11.0,3.0,8.0,14.0,2.0,9.0,0.0,0.0,0.0,1.0
800037,20000.0,3.0,11.47,659.24,B,B5,161.0,3 years,0.0,95000.0,1.0,2016-04-01,0.0,517.0,14.0,14.29,3.0,660.0,664.0,15.0,0.0,0.0,19397.0,55.7,41.0,0.0,0.0,1998-09-01,2.0,1.0,0.0,4.0,6.0,6.0,4.0,13.0,7.0,10.0,29.0,6.0,15.0,0.0,0.0,0.0,2.0
800038,24000.0,3.0,9.16,764.99,B,B2,374.0,4 years,1.0,73000.0,1.0,2016-03-01,0.0,162.0,2.0,17.64,0.0,675.0,679.0,9.0,0.0,0.0,19788.0,72.2,17.0,0.0,0.0,1999-03-01,2.0,1.0,1.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,10.0,6.0,9.0,0.0,0.0,0.0,0.0
800039,5000.0,3.0,10.42,162.33,B,B3,6347.0,10+ years,1.0,35000.0,0.0,2017-06-01,5.0,141.0,13.0,7.89,0.0,665.0,669.0,3.0,0.0,0.0,2110.0,95.9,7.0,0.0,0.0,2006-06-01,6.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0
800040,8500.0,3.0,15.77,297.88,D,D1,54.0,,1.0,14000.0,2.0,2016-01-01,0.0,610.0,35.0,129.25,0.0,660.0,664.0,7.0,2.0,1.0,4975.0,51.3,19.0,0.0,1.0,2006-09-01,0.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,11.0,4.0,6.0,3.0,7.0,0.0,0.0,0.0,3.0
800041,13000.0,3.0,11.44,428.32,B,B4,67665.0,10+ years,2.0,48000.0,0.0,2015-01-01,2.0,63.0,14.0,22.13,1.0,675.0,679.0,14.0,0.0,0.0,6979.0,39.4,22.0,1.0,0.0,2000-03-01,5.0,1.0,0.0,2.0,7.0,7.0,2.0,2.0,8.0,12.0,13.0,7.0,14.0,0.0,0.0,0.0,4.0
800042,12000.0,3.0,5.42,361.92,A,A1,228484.0,7 years,0.0,172000.0,1.0,2011-07-01,8.0,4.0,3.0,1.06,0.0,805.0,809.0,11.0,0.0,0.0,10319.0,10.3,34.0,1.0,0.0,1992-02-01,899.0,1.0,,,,,,,,,,,,,,,
800043,15000.0,3.0,12.69,503.18,C,C2,54.0,,0.0,165000.0,0.0,2015-07-01,9.0,129.0,30.0,13.06,1.0,680.0,684.0,22.0,0.0,0.0,27074.0,34.9,40.0,0.0,0.0,2003-12-01,10.0,1.0,0.0,9.0,12.0,12.0,12.0,15.0,12.0,18.0,23.0,12.0,22.0,0.0,0.0,0.0,3.0
800044,10200.0,3.0,7.69,318.18,A,A4,1086.0,< 1 year,1.0,24000.0,0.0,2014-08-01,0.0,70.0,32.0,11.45,0.0,705.0,709.0,22.0,0.0,0.0,9402.0,37.9,41.0,1.0,0.0,2002-08-01,0.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,32.0,7.0,9.0,3.0,22.0,0.0,0.0,0.0,0.0
800045,35000.0,5.0,10.91,759.42,B,B4,6788.0,10+ years,0.0,228000.0,1.0,2017-09-01,0.0,871.0,49.0,9.97,0.0,720.0,724.0,15.0,0.0,0.0,50542.0,84.0,32.0,0.0,0.0,1990-07-01,0.0,1.0,0.0,9.0,9.0,9.0,12.0,12.0,12.0,9.0,18.0,6.0,14.0,,0.0,0.0,0.0
800046,15000.0,3.0,11.67,495.86,B,B4,23665.0,10+ years,0.0,56000.0,0.0,2014-07-01,4.0,791.0,14.0,17.38,0.0,660.0,664.0,13.0,0.0,0.0,9349.0,62.3,28.0,1.0,0.0,1995-02-01,4.0,1.0,0.0,1.0,6.0,6.0,2.0,5.0,10.0,10.0,14.0,6.0,13.0,0.0,0.0,0.0,4.0
800047,6000.0,3.0,11.49,197.83,B,B5,1525.0,1 year,0.0,60000.0,1.0,2016-11-01,0.0,196.0,14.0,22.44,0.0,700.0,704.0,5.0,1.0,0.0,4322.0,67.5,5.0,1.0,0.0,2012-11-01,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0
800048,8000.0,3.0,8.18,251.36,B,B1,161.0,3 years,0.0,63000.0,2.0,2015-11-01,0.0,224.0,3.0,18.07,0.0,710.0,714.0,30.0,0.0,0.0,10136.0,13.4,56.0,0.0,0.0,1999-06-01,0.0,1.0,0.0,11.0,18.0,18.0,15.0,24.0,7.0,28.0,48.0,18.0,30.0,0.0,0.0,0.0,12.0
800049,21000.0,3.0,16.55,744.02,D,D2,98003.0,10+ years,2.0,60000.0,2.0,2015-02-01,0.0,418.0,45.0,9.32,0.0,660.0,664.0,13.0,0.0,0.0,18742.0,69.4,25.0,1.0,0.0,1997-12-01,0.0,1.0,0.0,5.0,8.0,8.0,5.0,11.0,0.0,13.0,23.0,8.0,13.0,0.0,0.0,0.0,3.0
800050,25000.0,3.0,15.99,878.81,C,C5,105.0,1 year,1.0,126000.0,2.0,2017-01-01,0.0,38.0,21.0,15.58,0.0,665.0,669.0,12.0,0.0,0.0,26957.0,95.3,17.0,1.0,0.0,2007-02-01,0.0,1.0,0.0,7.0,10.0,10.0,7.0,9.0,3.0,10.0,14.0,10.0,12.0,0.0,0.0,0.0,2.0
800051,18000.0,3.0,9.99,580.73,B,B3,62675.0,2 years,1.0,80000.0,1.0,2015-07-01,4.0,72.0,10.0,17.37,0.0,665.0,669.0,9.0,3.0,0.0,10879.0,53.9,20.0,1.0,0.0,1989-06-01,4.0,1.0,1.0,6.0,6.0,6.0,6.0,7.0,9.0,6.0,9.0,6.0,9.0,0.0,0.0,0.0,5.0
800052,25000.0,3.0,6.89,770.68,A,A3,1388.0,10+ years,0.0,60000.0,2.0,2015-09-01,2.0,195.0,38.0,2.9,0.0,730.0,734.0,10.0,0.0,0.0,6799.0,10.5,15.0,0.0,0.0,1989-02-01,5.0,1.0,0.0,2.0,2.0,2.0,4.0,4.0,0.0,10.0,13.0,2.0,10.0,0.0,0.0,0.0,1.0
800053,26000.0,5.0,15.05,619.23,C,C4,54.0,,0.0,27700.0,1.0,2017-09-01,4.0,601.0,44.0,21.4,0.0,740.0,744.0,4.0,0.0,0.0,160410.0,70.0,14.0,0.0,1.0,1974-11-01,4.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,7.0,3.0,4.0,0.0,0.0,0.0,1.0
800054,24000.0,5.0,30.74,787.43,F,F5,147021.0,9 years,1.0,65000.0,1.0,2017-05-01,0.0,304.0,8.0,18.94,0.0,725.0,729.0,13.0,0.0,0.0,3401.0,12.1,19.0,0.0,0.0,2008-01-01,0.0,1.0,0.0,2.0,3.0,3.0,6.0,6.0,3.0,11.0,16.0,3.0,13.0,0.0,0.0,0.0,2.0
800055,10000.0,3.0,11.49,329.72,B,B5,15919.0,10+ years,1.0,42000.0,1.0,2016-10-01,4.0,74.0,30.0,11.52,0.0,660.0,664.0,15.0,0.0,0.0,9327.0,44.8,20.0,0.0,0.0,2006-08-01,4.0,1.0,2.0,3.0,10.0,10.0,5.0,7.0,2.0,15.0,17.0,10.0,15.0,0.0,0.0,0.0,3.0
800056,16200.0,5.0,25.83,483.41,G,G2,5213.0,10+ years,0.0,52000.0,2.0,2014-02-01,0.0,243.0,13.0,17.98,1.0,670.0,674.0,13.0,1.0,0.0,17408.0,83.7,21.0,1.0,0.0,1986-01-01,0.0,1.0,0.0,1.0,11.0,11.0,1.0,5.0,2.0,11.0,17.0,11.0,13.0,0.0,0.0,0.0,2.0
800057,34000.0,3.0,12.99,1145.44,C,C2,2213.0,7 years,0.0,133000.0,2.0,2016-02-01,0.0,5.0,4.0,26.6,0.0,685.0,689.0,12.0,0.0,0.0,56221.0,91.0,32.0,1.0,0.0,2001-05-01,0.0,1.0,0.0,6.0,7.0,7.0,8.0,8.0,9.0,7.0,20.0,6.0,12.0,,0.0,0.0,3.0
800058,12050.0,5.0,22.15,333.84,E,E5,183267.0,10+ years,1.0,42000.0,1.0,2014-10-01,0.0,99.0,8.0,30.35,0.0,660.0,664.0,11.0,0.0,0.0,17135.0,84.8,18.0,0.0,0.0,2000-06-01,0.0,1.0,0.0,5.0,9.0,9.0,5.0,6.0,7.0,9.0,11.0,9.0,11.0,0.0,0.0,0.0,2.0
800059,35000.0,3.0,14.46,1204.06,C,C4,56.0,10+ years,2.0,170000.0,2.0,2016-03-01,0.0,123.0,12.0,30.59,0.0,700.0,704.0,15.0,0.0,0.0,22894.0,85.7,47.0,1.0,0.0,1982-01-01,0.0,1.0,1.0,3.0,4.0,4.0,3.0,7.0,25.0,7.0,19.0,4.0,15.0,0.0,0.0,0.0,6.0
800060,15000.0,5.0,21.49,409.95,D,D5,105137.0,9 years,1.0,54000.0,2.0,2016-10-01,0.0,48.0,10.0,32.31,0.0,695.0,699.0,8.0,0.0,0.0,5443.0,50.9,18.0,0.0,1.0,2006-04-01,0.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,9.0,4.0,8.0,4.0,8.0,0.0,0.0,0.0,1.0
800061,15000.0,3.0,7.89,469.29,A,A5,20.0,10+ years,0.0,92000.0,0.0,2015-11-01,0.0,372.0,30.0,16.33,0.0,730.0,734.0,9.0,0.0,0.0,7449.0,16.7,20.0,0.0,0.0,1998-11-01,0.0,1.0,2.0,2.0,2.0,2.0,5.0,11.0,4.0,7.0,15.0,2.0,9.0,0.0,0.0,0.0,3.0
800062,31500.0,3.0,14.64,1086.42,C,C3,16708.0,< 1 year,1.0,270000.0,1.0,2014-05-01,4.0,51.0,13.0,2.02,0.0,745.0,749.0,10.0,0.0,0.0,45538.0,0.0,27.0,1.0,0.0,1999-08-01,4.0,1.0,0.0,1.0,1.0,1.0,3.0,8.0,6.0,6.0,15.0,1.0,10.0,0.0,0.0,0.0,1.0
800063,7500.0,3.0,18.25,272.09,D,D2,271026.0,6 years,0.0,25000.0,1.0,2013-09-01,0.0,174.0,7.0,14.4,0.0,665.0,669.0,6.0,0.0,0.0,9182.0,68.5,20.0,1.0,0.0,1996-04-01,0.0,1.0,0.0,2.0,5.0,5.0,2.0,7.0,2.0,5.0,14.0,5.0,6.0,0.0,0.0,0.0,4.0
800064,6500.0,3.0,8.46,205.07,A,A5,32.0,8 years,0.0,73000.0,0.0,2018-10-01,0.0,505.0,10.0,16.78,0.0,745.0,749.0,14.0,0.0,0.0,7821.0,13.7,23.0,0.0,0.0,2000-09-01,0.0,1.0,0.0,2.0,4.0,4.0,7.0,10.0,3.0,11.0,18.0,4.0,14.0,0.0,0.0,0.0,4.0
800065,1400.0,3.0,11.49,46.16,B,B5,2670.0,8 years,1.0,70000.0,2.0,2016-09-01,7.0,135.0,33.0,11.06,0.0,665.0,669.0,6.0,1.0,0.0,1999.0,46.5,11.0,1.0,0.0,2001-06-01,8.0,1.0,0.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,7.0,4.0,6.0,0.0,0.0,0.0,4.0
800066,25000.0,5.0,18.45,640.98,D,D2,54.0,,0.0,31200.0,2.0,2018-03-01,4.0,200.0,22.0,37.15,0.0,690.0,694.0,9.0,1.0,1.0,26980.0,68.7,28.0,0.0,1.0,2011-01-01,4.0,1.0,0.0,3.0,6.0,6.0,3.0,7.0,11.0,7.0,14.0,6.0,9.0,0.0,0.0,0.0,3.0
800067,18000.0,3.0,12.49,602.08,B,B5,307.0,2 years,1.0,71000.0,1.0,2014-07-01,0.0,447.0,30.0,21.35,0.0,695.0,699.0,8.0,0.0,0.0,30469.0,92.9,16.0,1.0,0.0,2002-10-01,0.0,1.0,0.0,3.0,3.0,3.0,4.0,8.0,6.0,6.0,10.0,3.0,8.0,0.0,0.0,0.0,1.0
800068,3000.0,3.0,10.99,98.21,B,B4,2332.0,1 year,0.0,82000.0,2.0,2015-10-01,5.0,762.0,7.0,17.27,0.0,720.0,724.0,10.0,0.0,0.0,6010.0,26.4,11.0,0.0,0.0,2010-04-01,6.0,1.0,0.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,10.0,0.0,0.0,0.0,5.0
800069,25000.0,3.0,7.89,782.15,A,A5,1777.0,< 1 year,0.0,135000.0,1.0,2016-03-01,0.0,103.0,36.0,11.98,4.0,670.0,674.0,11.0,0.0,0.0,73969.0,76.4,30.0,0.0,0.0,1990-01-01,0.0,1.0,1.0,4.0,5.0,5.0,5.0,11.0,5.0,9.0,21.0,5.0,10.0,0.0,0.0,1.0,0.0
800070,35000.0,3.0,9.75,1125.25,B,B3,280.0,10+ years,0.0,185000.0,2.0,2016-06-01,0.0,139.0,8.0,25.13,0.0,700.0,704.0,28.0,0.0,0.0,166129.0,91.0,35.0,1.0,0.0,2001-12-01,0.0,1.0,0.0,15.0,20.0,20.0,17.0,17.0,8.0,20.0,25.0,22.0,25.0,,0.0,0.0,2.0
